Time /s	5% seeds
1519.849624	0.010714286
2658.045113	0.014285714
4175.18797	0.017857143
6071.278195	0.021428571
7210.827068	0.028571429
8351.729323	0.039285714
9489.924812	0.042857143
10254.58647	0.060714286
11015.18797	0.067857143
11777.14286	0.078571429
12537.74436	0.085714286
13302.40602	0.103571429
13685.41353	0.114285714
14444.66165	0.117857143
14827.66917	0.128571429
15210.67669	0.139285714
16354.28571	0.157142857
17496.54135	0.171428571
17878.19549	0.178571429
17882.25564	0.189285714
18263.90977	0.196428571
18646.91729	0.207142857
19028.57143	0.214285714
19411.57895	0.225
19793.23308	0.232142857
20177.59398	0.246428571
20559.24812	0.253571429
21323.90977	0.271428571
21326.61654	0.278571429
22088.57143	0.289285714
22470.22556	0.296428571
22851.8797	0.303571429
23234.88722	0.314285714
23620.6015	0.332142857
24381.20301	0.339285714
24766.91729	0.357142857
24770.97744	0.367857143
25913.23308	0.382142857
26298.94737	0.4
26681.95489	0.410714286
27446.61654	0.428571429
27450.67669	0.439285714
28212.63158	0.45
28596.99248	0.464285714
28980	0.475
29363.00752	0.485714286
30885.56391	0.503571429
31269.92481	0.517857143
32031.8797	0.528571429
33175.48872	0.546428571
33179.54887	0.557142857
33562.55639	0.567857143
34703.45865	0.578571429
35466.76692	0.592857143
36609.02256	0.607142857
38128.87218	0.617857143
39271.12782	0.632142857
40410.67669	0.639285714
41930.52632	0.65
43074.13534	0.667857143
43834.73684	0.675
45354.58647	0.685714286
46496.84211	0.7
46881.20301	0.714285714
48401.05263	0.725
49919.54887	0.732142857
51059.09774	0.739285714
51821.05263	0.75
52580.30075	0.753571429
52961.95489	0.760714286
54102.85714	0.771428571
55621.35338	0.778571429
56381.95489	0.785714286
57901.80451	0.796428571
58662.40602	0.803571429
60182.25564	0.814285714
61320.45113	0.817857143
62840.30075	0.828571429
63979.84962	0.835714286
65119.3985	0.842857143
66637.89474	0.85
68533.98496	0.853571429
69297.29323	0.867857143
70436.84211	0.875
71953.98496	0.878571429
73092.18045	0.882142857
74990.97744	0.892857143
76887.06767	0.896428571
78025.26316	0.9
79921.35338	0.903571429
81818.79699	0.910714286
82956.99248	0.914285714
84853.08271	0.917857143
86371.57895	0.925
87890.07519	0.932142857
88649.32331	0.935714286
90924.3609	0.939285714
92820.45113	0.942857143
94338.94737	0.95
96233.68421	0.95
97749.47368	0.95
99645.56391	0.953571429
102677.1429	0.953571429
103056.0902	0.953571429
106467.9699	0.957142857
108362.7068	0.957142857
111020.7519	0.971428571
112535.188	0.967857143
114810.2256	0.971428571
115947.0677	0.971428571
118599.6992	0.971428571
121632.6316	0.975
124286.6165	0.978571429
127695.7895	0.975
130730.0752	0.982142857
134140.6015	0.982142857
138689.3233	0.985714286
141723.609	0.992857143
