Time /s	12.8 uM Ex45
560.0979192	0.010526316
1680.293758	0.031578947
2985.230518	0.045614035
3546.634027	0.063157895
4294.084047	0.080701754
5040.881273	0.094736842
5975.683395	0.119298246
6540.350877	0.154385965
7104.365565	0.185964912
7667.074663	0.210526316
8045.695634	0.245614035
8611.668707	0.287719298
8988.984088	0.315789474
9182.211342	0.354385965
9746.878825	0.389473684
10126.80539	0.431578947
10690.82007	0.463157895
11256.79315	0.505263158
11446.75643	0.526315789
11826.68299	0.568421053
12203.34557	0.592982456
12768.01306	0.628070175
13334.63892	0.673684211
14086.65851	0.715789474
14462.6683	0.736842105
15026.68299	0.768421053
15777.39698	0.803508772
16340.75887	0.831578947
16901.50959	0.845614035
18210.36312	0.880701754
19144.51244	0.901754386
20822.19502	0.919298246
22127.13178	0.933333333
23803.50877	0.943859649
25667.89066	0.964912281
27716.36067	0.975438596
30881.10975	0.985964912
33114.97348	0.992982456
35720.27744	0.996491228
38324.9286	0.996491228
41673.76581	0.996491228
47440.55488	0.992982456
50603.99837	0.996491228
55069.11465	0.996491228
58231.90534	0.996491228
62698.32721	1.003508772
66047.16442	1.003508772
69582.04814	1.003508772
