Time /s	20 uM Ex45
187.3521012	0.007017544
934.1493268	0.021052632
1494.247246	0.031578947
1868.298654	0.042105263
2243.655651	0.059649123
2431.660547	0.070175439
2805.711954	0.080701754
3368.421053	0.105263158
3557.731538	0.122807018
4119.787842	0.143859649
4123.70461	0.164912281
4500.367197	0.189473684
4878.335373	0.221052632
5068.298654	0.242105263
5259.567523	0.270175439
5448.878009	0.287719298
5640.146879	0.315789474
5458.669931	0.340350877
5651.24439	0.375438596
5657.119543	0.407017544
6406.527948	0.435087719
6038.351693	0.456140351
6414.361485	0.477192982
6604.324765	0.498245614
6796.24643	0.529824561
7172.256222	0.550877193
7362.219502	0.571929825
7740.840473	0.607017544
7743.451652	0.621052632
7937.984496	0.666666667
8315.299878	0.694736842
8319.869441	0.719298246
8884.536924	0.754385965
9823.255814	0.8
9825.866993	0.814035088
10017.13586	0.842105263
10394.45124	0.870175439
11141.90126	0.887719298
11517.25826	0.905263158
12636.14851	0.919298246
13382.94574	0.933333333
14873.92901	0.947368421
16176.25459	0.947368421
17665.93227	0.954385965
18596.81763	0.957894737
20643.32925	0.957894737
22132.35414	0.961403509
24180.17136	0.968421053
24924.35741	0.968421053
26412.7295	0.968421053
27715.70787	0.971929825
29204.73276	0.975438596
30507.05834	0.975438596
32368.82905	0.98245614
34415.99347	0.985964912
35904.36557	0.985964912
38322.97022	0.985964912
39625.2958	0.985964912
41671.80743	0.985964912
43532.27254	0.985964912
48183.43533	0.985964912
51531.61975	0.98245614
54881.10975	0.985964912
58603.34557	0.992982456
62324.9286	0.996491228
65859.15953	0.992982456
70137.5765	0.989473684
9472.330827	-1.003571429
9862.105263	-0.975
9866.165414	-0.964285714
10636.2406	-0.932142857
11024.66165	-0.907142857
11036.84211	-0.875
11049.02256	-0.842857143
11436.09023	-0.821428571
11445.56391	-0.796428571
11833.98496	-0.771428571
12225.11278	-0.739285714
12991.12782	-0.717857143
13765.26316	-0.675
14531.2782	-0.653571429
14543.45865	-0.621428571
15309.47368	-0.6
15323.00752	-0.564285714
16474.73684	-0.525
18001.35338	-0.496428571
18766.01504	-0.478571429
20671.57895	-0.45
22190.07519	-0.442857143
24091.57895	-0.425
25611.42857	-0.414285714
28645.71429	-0.407142857
30920.75188	-0.403571429
33573.38346	-0.403571429
36224.66165	-0.407142857
38119.3985	-0.407142857
41152.33083	-0.403571429
43426.01504	-0.403571429
46458.94737	-0.4
49114.28571	-0.392857143
51766.91729	-0.392857143
54040.6015	-0.392857143
56693.23308	-0.392857143
60864.3609	-0.385714286
63516.99248	-0.385714286
65790.67669	-0.385714286
68827.66917	-0.371428571
71101.35338	-0.371428571
73375.03759	-0.371428571
77547.5188	-0.360714286
80198.79699	-0.364285714
83990.97744	-0.357142857
85885.71429	-0.357142857
88918.64662	-0.353571429
91571.2782	-0.353571429
94602.85714	-0.353571429
96118.64662	-0.353571429
100289.7744	-0.346428571
102941.0526	-0.35
106352.9323	-0.346428571
109384.5113	-0.346428571
113931.8797	-0.346428571
118100.3008	-0.346428571
126058.1955	-0.346428571
130225.2632	-0.35
135529.1729	-0.353571429
141971.2782	-0.353571429
