Time /s	12.8 uM
727.2727273	0.007380074
2909.090909	0.011070111
4606.060606	0.011070111
6545.454545	0.022140221
7515.151515	0.025830258
8727.272727	0.036900369
9454.545455	0.040590406
10666.66667	0.055350554
11636.36364	0.066420664
12363.63636	0.077490775
13333.33333	0.092250923
13575.75758	0.099630996
14303.0303	0.114391144
14545.45455	0.125461255
15272.72727	0.147601476
16484.84848	0.162361624
16484.84848	0.173431734
16969.69697	0.191881919
17454.54545	0.20295203
18424.24242	0.228782288
18424.24242	0.243542435
18666.66667	0.269372694
19151.51515	0.280442804
19878.78788	0.302583026
20363.63636	0.313653137
21090.90909	0.354243542
21333.33333	0.365313653
22060.60606	0.383763838
22545.45455	0.402214022
22545.45455	0.41697417
23515.15152	0.446494465
24242.42424	0.47601476
24727.27273	0.483394834
25212.12121	0.494464945
25939.39394	0.520295203
26424.24242	0.538745387
26424.24242	0.542435424
26909.09091	0.553505535
27393.93939	0.560885609
27636.36364	0.568265683
28121.21212	0.575645756
28121.21212	0.586715867
28363.63636	0.590405904
28848.48485	0.601476015
28848.48485	0.616236162
29333.33333	0.623616236
29575.75758	0.63099631
30060.60606	0.642066421
30545.45455	0.653136531
30787.87879	0.660516605
31030.30303	0.667896679
31515.15152	0.675276753
32000	0.686346863
32242.42424	0.6900369
32484.84848	0.704797048
32969.69697	0.715867159
33454.54545	0.723247232
33696.9697	0.730627306
33939.39394	0.73800738
34424.24242	0.745387454
34666.66667	0.756457565
34666.66667	0.763837638
34909.09091	0.774907749
35393.93939	0.782287823
35636.36364	0.78597786
36121.21212	0.793357934
36606.06061	0.804428044
36848.48485	0.808118081
37333.33333	0.819188192
37575.75758	0.822878229
38787.87879	0.848708487
39757.57576	0.867158672
40484.84848	0.878228782
41454.54545	0.885608856
42666.66667	0.896678967
43393.93939	0.900369004
44363.63636	0.911439114
44848.48485	0.918819188
46060.60606	0.926199262
46787.87879	0.933579336
47757.57576	0.937269373
48727.27273	0.94095941
49696.9697	0.944649446
50666.66667	0.948339483
51878.78788	0.959409594
52848.48485	0.959409594
54060.60606	0.966789668
55030.30303	0.966789668
56000	0.970479705
57212.12121	0.974169742
58424.24242	0.974169742
59393.93939	0.974169742
60606.06061	0.974169742
61575.75758	0.974169742
65212.12121	0.981549815
66424.24242	0.985239852
63515.15152	0.981549815
66666.66667	0.985239852
68121.21212	0.985239852
69090.90909	0.985239852
70060.60606	0.988929889
