Time /s	20 uM
2666.666664	0.01476015
4848.48486	0.0295203
6303.0303	0.05904059
7030.30302	0.07749077
7757.57574	0.099631
8242.424244	0.10701107
8484.848496	0.12546125
8484.848496	0.12915129
8969.696964	0.1402214
8969.696964	0.14760148
9212.121216	0.16605166
9212.121216	0.16605166
9454.545468	0.19188192
9696.969684	0.20664207
10181.81819	0.22140221
10666.66666	0.24354244
10666.66666	0.26199262
10909.09091	0.27306273
11151.51516	0.29520295
11151.51516	0.30258303
11636.36363	0.31734317
11393.93938	0.33948339
11636.36363	0.35055351
11636.36363	0.36900369
12121.21213	0.38376384
12363.63635	0.39852399
13090.9091	0.42435424
13333.33332	0.4501845
14060.60608	0.4797048
14303.03029	0.50184502
14303.03029	0.51660517
14787.8788	0.53136531
15030.30305	0.55719557
15515.15152	0.57564576
15757.57577	0.59409594
16727.27274	0.62730627
16727.27274	0.63468635
17212.12121	0.65682657
17212.12121	0.68265683
17939.39393	0.69372694
18909.0909	0.71217712
19393.9394	0.74169742
20121.21212	0.76383764
20363.63638	0.78228782
21090.9091	0.80811808
21818.18182	0.8302583
22545.45454	0.85239852
23030.30304	0.87453875
24242.42423	0.89298893
24727.27273	0.90405904
26181.81817	0.91881919
27151.51514	0.9298893
28363.63637	0.93357934
29333.33334	0.94833948
30545.45453	0.95202952
31515.1515	0.96309963
32484.84847	0.96678967
34424.24242	0.9704797
35636.36364	0.97416974
37333.33344	0.98154982
38060.60616	0.99261993
40242.42432	0.99261993
41454.5454	0.99630996
43393.93956	0.99630996
45818.18172	0.99630996
47272.72716	1
48727.2726	1.00369004
50424.2424	1.00369004
52606.06056	1.00369004
53575.75764	1.00369004
55757.5758	1.00369004
56484.84852	1.00369004
58181.81832	1.00369004
59636.36376	1.00369004
61333.3332	1.00369004
63030.303	1.00369004
64969.6968	1.00369004
67151.51532	1
68848.48476	1.00369004
70545.45456	1
