Time /s	20 uM Ex45
0	0.015151515
1070.63197	0.060606061
2408.921933	0.095959596
4014.869888	0.151515152
4014.869888	0.186868687
4282.527881	0.217171717
4550.185874	0.257575758
5085.501859	0.318181818
5353.159851	0.358585859
5620.817844	0.378787879
5620.817844	0.404040404
5888.475836	0.449494949
6156.133829	0.515151515
6156.133829	0.545454545
6156.133829	0.570707071
6959.107807	0.595959596
6959.107807	0.616161616
7226.765799	0.646464646
7494.423792	0.676767677
7494.423792	0.707070707
7494.423792	0.742424242
7762.081784	0.762626263
8029.739777	0.792929293
8297.39777	0.808080808
9100.371747	0.838383838
9368.02974	0.843434343
10973.9777	0.883838384
11509.29368	0.883838384
12312.26766	0.898989899
13382.89963	0.914141414
14453.5316	0.934343434
16059.47955	0.934343434
17397.76952	0.954545455
20342.00743	0.96969697
23286.24535	0.96969697
24892.19331	0.974747475
28371.74721	0.974747475
31583.64312	0.974747475
35598.51301	0.97979798
39345.72491	0.994949495
44966.54275	0.994949495
50319.7026	1.005050505
55405.20446	1
62631.97026	1
70126.39405	1
