Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37 X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37 Y	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37 X	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37 Y	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37 X	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37 Y	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37 X	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37 Y	Kar2011_Fig3B_22uM.txt: 22 uM Q37 X	Kar2011_Fig3B_22uM.txt: 22 uM Q37 Y	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37 X	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37 Y	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37 X	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37 Y	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37 X	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37 Y	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37 X	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37 Y	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37 X	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37 Y
53939.25511	0.0176939008547	64212.10192	0.0353770628173	79618.45385	0.0791476625904	43663.49001	0.0270190133156	25689.89915	0.0161329590698	20554.44851	0.0214823361135	17996.93721	0.0204640757966	17980.40021	0.0225820184406	7701.716814	0.0100894408123	23125.5785	0.141883820736
113018.8247	0.0216605845901	82191.52937	0.0493614884987	179802.0566	0.228580406136	61639.99916	0.0563787506014	59076.65128	0.0807364852445	61649.72681	0.154689836431	61661.39999	0.18456121031	56539.56805	0.0561107971205	38552.35848	0.0953285286322	28280.48444	0.130945046353
146408.4951	0.0526612943518	182369.2955	0.161123188451	277485.5412	0.112017739088	169547.6923	0.151251110477	74495.64915	0.0866406263937	84786.00572	0.185751959073	87368.8089	0.231879332225	72027.63221	-0.149257030412	54007.34864	0.0740254073714	61817.04235	-0.0493769571427
238873.8441	0.158571317046	274895.9287	0.0784471757689	519020.0096	-0.0422466212924	274948.458	0.0173467140427	82209.03914	0.0770746191106	174839.7581	-0.0491903942535	177415.7519	0.00591845924959	105471.7775	-0.171417008577	72059.73345	-0.0382817281445	69556.69698	-0.113389035238
282567.4898	0.0690180747926	519008.3365	-0.0822288359581	778430.7924	-0.0260655886451	521596.0034	-0.0458451027889	113049.9532	0.0960958953251	275052.5438	-0.0401824451305	277621.7283	0.00471028441823	144050.4006	-0.200356943727	102952.204	-0.100799787841	105544.7348	-0.0352982512572
351949.0891	-0.00918353248555	775859.6624	-0.0541743528829	935093.6518	-0.0146272773501	773294.369	-0.0105775254569	151630.5218	0.0141420135129	526754.8004	0.00246833587843	526754.8004	0.0180923672684	172312.4025	-0.148249275299	151778.3821	-0.0386889784005	146652.6591	-0.00437792077735
434193.1478	-0.18787206262	935093.6518	-0.0368262152065			935096.5701	-0.011888647677	236478.7845	-0.103030321808	773306.0422	-0.000651313929258	778444.4111	0.00352939127153	239103.4165	-0.0778702570257	174898.124	-0.0187783428332	177474.1178	0.0126391069332
529262.7007	-0.299643725261							457413.0845	-0.0762373895078	937671.5912	-0.000117309945175	937674.5095	-3.83839586482e-05	285334.1455	-0.0411618691505	236542.987	0.00474878746787	239113.1442	0.0242026999646
														349545.2747	-0.0288231670548	282774.6887	0.00432960285344	285345.8187	0.00939198896762
																349548.1929	0.0112677885801	352120.2957	0.00702758374064
																434301.1247	0.00644912881626	439441.4391	-3.3281305437e-05
																531895.1149	-8.52790435991e-05	521624.2136	-4.22303559422e-06
