Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37 X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37 Y	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37 X	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37 Y	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37 X	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37 Y	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37 X	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37 Y	Kar2011_Fig3B_22uM.txt: 22 uM Q37 X	Kar2011_Fig3B_22uM.txt: 22 uM Q37 Y	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37 X	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37 Y	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37 X	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37 Y	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37 X	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37 Y	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37 X	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37 Y	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37 X	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37 Y
53939.25511	0.00503830235259	64212.10192	0.011157952159	79618.45385	0.0292879550614	43663.49001	0.00915537386103	25689.89915	0.00591667024899	20554.44851	0.0090903012648	17996.93721	0.00899667486723	17980.40021	0.010141071616	7701.716814	0.00526182355163	23125.5785	0.0927602077981
113018.8247	-0.028417197626	82191.52937	0.0112421743739	179802.0566	0.110963857817	61639.99916	0.0224378332232	59076.65128	0.0330828421348	61649.72681	0.0754999135352	61661.39999	0.0988678239564	56539.56805	-0.0253349016717	38552.35848	0.0234095053856	28280.48444	0.0702275071203
146408.4951	-0.0236100430192	182369.2955	0.0433108991205	277485.5412	0.142825542242	169547.6923	0.0338958372535	74495.64915	0.0178770985749	84786.00572	0.0861554447875	87368.8089	0.141115150412	72027.63221	-0.243452022394	54007.34864	0.00280026254394	61817.04235	-0.00722960025965
238873.8441	0.0320705723894	274895.9287	-0.000392084915981	519020.0096	0.0855344616706	274948.458	0.0668357775305	82209.03914	-0.00185373769801	174839.7581	0.0724109092425	177415.7519	0.156890077762	105471.7775	-0.209567372433	72059.73345	-0.0469098356409	69556.69698	-0.0286301055924
282567.4898	-0.0495692273147	519008.3365	0.104592133078	778430.7924	0.00745602645594	521596.0034	0.0677393835324	113049.9532	-0.0118716109662	275052.5438	0.0712052145402	277621.7283	0.0851721160863	144050.4006	-0.0986556225351	102952.204	0.0230367474647	105544.7348	0.0846528199006
351949.0891	-0.0560966518096	775859.6624	0.0187005800161	935093.6518	-1.34711635291e-07	773294.369	0.0184463701157	151630.5218	-0.0801698286285	526754.8004	0.0109888730824	526754.8004	0.0226414932127	172312.4025	0.0035971310828	151778.3821	0.0670587052119	146652.6591	0.0467400414177
434193.1478	-0.0953707453125	935093.6518	-5.79557499181e-06			935096.5701	-5.94443986257e-08	236478.7845	0.0040798717268	773306.0422	-3.8412606429e-12	778444.4111	0.00377358495986	239103.4165	0.0274463924675	174898.124	0.0537864468992	177474.1178	0.0365660553267
529262.7007	-0.105974255513							457413.0845	-0.000562780842018	937671.5912	-3.5527136788e-15	937674.5095	-1.11022302463e-16	285334.1455	0.0213525075968	236542.987	0.0279391079769	239113.1442	0.029303701442
														349545.2747	-2.86762832297e-05	282774.6887	0.0139846209606	285345.8187	0.0109890047854
																349548.1929	0.0139859995769	352120.2957	0.00732600730445
																434301.1247	0.00699300694851	439441.4391	-1.16573417586e-14
																531895.1149	-5.45119505091e-14	521624.2136	0.0
